                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.84253,                0.62266,                0.99078,                0.90081,                0.78122,                0.81941,                0.61009,                0.93463,                0.83613,                0.99924,              0.0010595,              0.0010595,              0.0010595
                     97,                 0.8437,                 0.6622,                 1.0073,                0.89992,                0.80108,                0.84107,                0.62865,                0.92302,                0.77798,                0.99682,              0.0010496,              0.0010496,              0.0010496
                     98,                0.83778,                0.60218,                 0.9811,                0.90185,                 0.7957,                0.83944,                0.63102,                0.89117,                0.76106,                0.97566,              0.0010397,              0.0010397,              0.0010397
                     99,                0.82962,                0.60359,                0.99433,                0.87347,                0.81655,                0.86177,                 0.6377,                0.88031,                0.73839,                0.96801,              0.0010298,              0.0010298,              0.0010298
                    100,                0.81219,                 0.6036,                0.97581,                0.87688,                 0.8041,                0.85725,                0.64766,                0.87547,                 0.7246,                0.98316,              0.0010199,              0.0010199,              0.0010199
                    101,                0.81789,                0.59744,                 0.9871,                0.89341,                0.76611,                0.84917,                0.63327,                0.88575,                0.75639,                0.98796,                0.00101,                0.00101,                0.00101
                    102,                 0.8324,                0.64512,                 1.0029,                0.91267,                0.80645,                0.86366,                0.64916,                0.87926,                0.69772,                0.98662,              0.0010001,              0.0010001,              0.0010001
                    103,                0.82209,                0.69351,                0.98158,                0.91334,                0.79327,                0.84334,                0.62042,                0.92434,                0.71653,                0.99708,              0.0009902,              0.0009902,              0.0009902
                    104,                0.82731,                0.62087,                0.99319,                0.92579,                0.80481,                0.88153,                0.65393,                 0.8775,                0.68493,                0.98542,              0.0009803,              0.0009803,              0.0009803
                    105,                 0.8083,                0.61523,                0.97657,                0.89396,                 0.8172,                 0.8655,                 0.6519,                0.89087,                0.72066,                 1.0097,              0.0009704,              0.0009704,              0.0009704
                    106,                0.79331,                 0.5888,                0.97572,                0.89075,                0.83333,                0.86635,                0.64632,                0.90784,                0.69916,                0.99384,              0.0009605,              0.0009605,              0.0009605
                    107,                0.82084,                0.65452,                0.98258,                0.89887,                0.83871,                0.87988,                0.65383,                0.89866,                0.70379,                 0.9919,              0.0009506,              0.0009506,              0.0009506
                    108,                 0.8237,                0.62985,                0.98436,                0.89176,                 0.8416,                0.87736,                0.67416,                0.85823,                0.67678,                0.99083,              0.0009407,              0.0009407,              0.0009407
                    109,                 0.8001,                0.59812,                0.96821,                0.88817,                0.80108,                0.86035,                0.64662,                0.89045,                0.70512,                0.98626,              0.0009308,              0.0009308,              0.0009308
                    110,                0.76625,                0.59255,                0.96874,                0.91095,                0.77419,                0.85938,                0.63829,                0.91819,                0.70783,                0.98523,              0.0009209,              0.0009209,              0.0009209
                    111,                0.80439,                0.61246,                0.98468,                0.89927,                  0.816,                0.87063,                0.63607,                0.93096,                0.69924,                0.99291,               0.000911,               0.000911,               0.000911
                    112,                0.79015,                0.58957,                0.98989,                0.89699,                0.79591,                0.86003,                 0.6512,                0.88321,                0.69613,                0.97587,              0.0009011,              0.0009011,              0.0009011
